"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","let name","let value","assert test","assert description","assert severity","notes"
"","","","","Time Of Use Rate","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure[auc:TimeOfUseRate]","false","","","auc:TimeOfUseRate/auc:RatePeriods/auc:RatePeriod","","ERROR",""
"","","","","Time Of Use Rate - Rate Period","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TimeOfUseRate/auc:RatePeriods/auc:RatePeriod","false","","","auc:ApplicableStartDateForEnergyRate","","ERROR",""
"","","","","","","","","","auc:ApplicableEndDateForEnergyRate","","ERROR",""
"","","","","","","","","","count(auc:TimeOfUsePeriods/auc:TimeOfUsePeriod) >= 2","","ERROR",""
"","","","","Time Of Use Rate - Time Of Use Period","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TimeOfUseRate/auc:RatePeriods/auc:RatePeriod/auc:TimeOfUsePeriods/auc:TimeOfUsePeriod","false","","","auc:ApplicableStartTimeForEnergyRate","","ERROR",""
"","","","","","","","","","auc:ApplicableEndTimeForEnergyRate","","ERROR",""
"","","","","","","","","","auc:EnergyCostRate","","ERROR",""
"","","","","Tiered Rate","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure[auc:TieredRates]","false","","","auc:TieredRates/auc:TieredRate/auc:RatePeriods/auc:RatePeriod","","ERROR",""
"","","","","Tiered Rate - Rate Period","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TieredRates/auc:TieredRate/auc:RatePeriods/auc:RatePeriod","false","","","auc:ApplicableStartDateForEnergyRate","","ERROR",""
"","","","","","","","","","auc:ApplicableEndDateForEnergyRate","","ERROR",""
"","","","","","","","","","count(auc:RateTiers/auc:RateTier) >= 2","","ERROR",""
"","","","","Tiered Rate - Rate Tier","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TieredRates/auc:TieredRate/auc:RatePeriods/auc:RatePeriod/auc:RateTiers/auc:RateTier","false","","","auc:EnergyCostRate","","ERROR",""
"","","","","","","","","","auc:MaxkWhUsage","","ERROR",""
"","","Utility Rate Schedule - Electricity","ASHRAE 211 6.1.2.1","Flat Rate - Rate Period","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility[@ID = //auc:ResourceUse[auc:EnergyResource/text() = 'Electricity']/auc:UtilityIDs/auc:UtilityID/@IDref]/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:FlatRate/auc:RatePeriods/auc:RatePeriod","false","","","auc:ApplicableStartDateForDemandRate","auc:ApplicableStartDateForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:ApplicableEndDateForDemandRate","auc:ApplicableEndDateForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:ElectricDemandRate","auc:ElectricDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","Time Of Use - Rate Period","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility[@ID = //auc:ResourceUse[auc:EnergyResource/text() = 'Electricity']/auc:UtilityIDs/auc:UtilityID/@IDref]/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TimeOfUseRate/auc:RatePeriods/auc:RatePeriod","false","","","auc:ApplicableStartDateForDemandRate","auc:ApplicableStartDateForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:ApplicableEndDateForDemandRate","auc:ApplicableEndDateForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","Time Of Use - Time Of Use Period","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility[@ID = //auc:ResourceUse[auc:EnergyResource/text() = 'Electricity']/auc:UtilityIDs/auc:UtilityID/@IDref]/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TimeOfUseRate/auc:RatePeriods/auc:RatePeriod/auc:TimeOfUsePeriods/auc:TimeOfUsePeriod","false","","","auc:ApplicableStartTimeForDemandRate","auc:ApplicableStartTimeForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:ApplicableEndTimeForDemandRate","auc:ApplicableEndTimeForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:ElectricDemandRate","auc:ElectricDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","Tiered Rate - Rate Period","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility[@ID = //auc:ResourceUse[auc:EnergyResource/text() = 'Electricity']/auc:UtilityIDs/auc:UtilityID/@IDref]/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TieredRates/auc:TieredRate/auc:RatePeriods/auc:RatePeriod","false","","","auc:ApplicableStartDateForDemandRate","auc:ApplicableStartDateForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:ApplicableEndDateForDemandRate","auc:ApplicableEndDateForDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","Tiered Rate - Rate Tier","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility[@ID = //auc:ResourceUse[auc:EnergyResource/text() = 'Electricity']/auc:UtilityIDs/auc:UtilityID/@IDref]/auc:RateSchedules/auc:RateSchedule/auc:TypeOfRateStructure/auc:TieredRates/auc:TieredRate/auc:RatePeriods/auc:RatePeriod/auc:RateTiers/auc:RateTier","false","","","auc:MaxkWUsage","auc:MaxkWUsage must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:ElectricDemandRate","auc:ElectricDemandRate must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","","","","","","","","auc:DemandWindow","auc:DemandWindow must be defined if the parent auc:Utility's linked resource is of type Electricity","ERROR",""
"","","Annual Energy Use","ASHRAE 211 6.1.2.2","Annual Energy Use","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario[auc:ScenarioType/auc:CurrentBuilding]/auc:AllResourceTotals/auc:AllResourceTotal","true","epsilonPct","0.05","","","ERROR","note that the test here is finding all resource uses whose energy resource ends with generated, and summing their annual use"
"","","","","","","","calculatedOnsiteEnergyProductionConsistentUnits","sum(//auc:ResourceUse/auc:EnergyResource['generated' = substring(text(), string-length(text()) - string-length('generated') + 1 )]/../auc:AnnualFuelUseConsistentUnits/text())","","","ERROR",""
"","","","","","","","calculatedOnsiteEnergyProductionConsistentUnitsEpsilon","auc:OnsiteEnergyProductionConsistentUnits * $epsilonPct","","","ERROR",""
"","","","","","","","calculatedOnsiteEnergyProductionConsistentUnitsDelta","translate(auc:OnsiteEnergyProductionConsistentUnits - $calculatedOnsiteEnergyProductionConsistentUnits, '-', '')","count(auc:OnsiteEnergyProductionConsistentUnits) = 1 and $calculatedOnsiteEnergyProductionConsistentUnitsDelta <= $calculatedOnsiteEnergyProductionConsistentUnitsEpsilon","auc:OnsiteEnergyProductionConsistentUnits (which is <value-of select=""auc:OnsiteEnergyProductionConsistentUnits/text()""/>) should equal the sum of all auc:AnnualFuelUseConsistentUnits for auc:ResourceUses that are generated (which is <value-of select=""$calculatedOnsiteEnergyProductionConsistentUnits"" />)","ERROR",""
"","","","","","","","calculatedExportedEnergyConsistentUnits","sum(//auc:ResourceUse/auc:EnergyResource['exported' = substring(text(), string-length(text()) - string-length('exported') + 1 )]/../auc:AnnualFuelUseConsistentUnits/text())","","","ERROR","note that the test here is finding all resource uses whose energy resource ends with exported, and summing their annual use"
"","","","","","","","calculatedExportedEnergyConsistentUnitsEpsilon","auc:ExportedEnergyConsistentUnits * $epsilonPct","","","ERROR",""
"","","","","","","","calculatedExportedEnergyConsistentUnitsDelta","translate(auc:ExportedEnergyConsistentUnits - $calculatedExportedEnergyConsistentUnits, '-', '')","count(auc:ExportedEnergyConsistentUnits) = 1 and $calculatedExportedEnergyConsistentUnitsDelta <= $calculatedExportedEnergyConsistentUnitsEpsilon","auc:ExportedEnergyConsistentUnits (which is <value-of select=""auc:ExportedEnergyConsistentUnits/text()""/>) should equal the sum of all auc:AnnualFuelUseConsistentUnits for auc:ResourceUses that are exported (which is <value-of select=""$calculatedExportedEnergyConsistentUnits"" />)","ERROR",""
"","","","","","","","calculatedImportedEnergyConsistentUnits","sum(//auc:ResourceUse/auc:AnnualFuelUseConsistentUnits/text()) - $calculatedOnsiteEnergyProductionConsistentUnits - $calculatedExportedEnergyConsistentUnits","","auc:ImportedEnergyConsistentUnits (which is <value-of select=""auc:ImportedEnergyConsistentUnits/text()""/>) should equal the sum of all auc:AnnualFuelUseConsistentUnits for auc:ResourceUses that are not generated or exported (which is <value-of select=""$calculatedImportedEnergyConsistentUnits"" />)","ERROR","note that the test here is finding all resource uses, and summing their annual use and subtracting the generated and exported sums"
"","","","","","","","calculatedImportedEnergyConsistentUnitsEpsilon","auc:ImportedEnergyConsistentUnits * $epsilonPct","","","ERROR",""
"","","","","","","","calculatedImportedEnergyConsistentUnitsDelta","translate(auc:ImportedEnergyConsistentUnits - $calculatedImportedEnergyConsistentUnits, '-', '')","count(auc:ImportedEnergyConsistentUnits) = 1 and $calculatedImportedEnergyConsistentUnitsDelta <= $calculatedImportedEnergyConsistentUnitsEpsilon","auc:ImportedEnergyConsistentUnits (which is <value-of select=""auc:ImportedEnergyConsistentUnits/text()""/>) should equal the sum of all auc:AnnualFuelUseConsistentUnits for auc:ResourceUses that are not generated or exported (which is <value-of select=""$calculatedImportedEnergyConsistentUnits"" />)","ERROR",""
"","","","","","","","","","auc:NetIncreaseInStoredEnergyConsistentUnits","","ERROR",""
"","","","","","","","calculatedSiteEnergyUse","1000 * (number(auc:ImportedEnergyConsistentUnits/text()) - number(auc:ExportedEnergyConsistentUnits/text()) - number(auc:NetIncreaseInStoredEnergyConsistentUnits))","","","ERROR",""
"","","","","","","","calculatedSiteEnergyUseEpsilon","auc:SiteEnergyUse * $epsilonPct","","","ERROR",""
"","","","","","","","calculatedSiteEnergyUseDelta","translate(auc:SiteEnergyUse - $calculatedSiteEnergyUse, '-', '')","count(auc:SiteEnergyUse) = 1 and $calculatedSiteEnergyUseDelta <= $calculatedSiteEnergyUseEpsilon","auc:SiteEnergyUse (which is <value-of select=""auc:SiteEnergyUse/text()""/>) should equal auc:ImportedEnergyConsistentUnits - auc:ExportedEnergyConsistentUnits - auc:NetIncreaseInStoredEnergyConsistentUnits (which is <value-of select=""$calculatedSiteEnergyUse""/>)","ERROR",""
"","","","","","","","calculatedSiteEnergyUseIntensity","auc:SiteEnergyUse div //auc:Building/auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue","","","ERROR",""
"","","","","","","","calculatedSiteEnergyUseIntensityEpsilon","auc:SiteEnergyUseIntensity * $epsilonPct","","","ERROR",""
"","","","","","","","calculatedSiteEnergyUseIntensityDelta","translate(auc:SiteEnergyUseIntensity - $calculatedSiteEnergyUseIntensity, '-', '')","count(auc:SiteEnergyUseIntensity) = 1 and $calculatedSiteEnergyUseIntensityDelta < $calculatedSiteEnergyUseIntensityEpsilon","auc:SiteEnergyUseIntensity (which is <value-of select=""auc:SiteEnergyUseIntensity""/>) should approximately equal auc:SiteEnergyUse divided by the auc:Building's Gross floor area (which is <value-of select=""$calculatedSiteEnergyUseIntensity""/>); the difference, <value-of select=""$calculatedSiteEnergyUseIntensityDelta""/> is too large (should be less than <value-of select=""$calculatedSiteEnergyUseIntensityEpsilon""/>)","ERROR",""
"","","","","","","","calculatedBuildingEnergyUse","1000 * (number(auc:ImportedEnergyConsistentUnits/text()) + number(auc:OnsiteEnergyProductionConsistentUnits/text()) - number(auc:ExportedEnergyConsistentUnits/text()) - number(auc:NetIncreaseInStoredEnergyConsistentUnits))","","","ERROR",""
"","","","","","","","calculatedBuildingEnergyUseEpsilon","auc:BuildingEnergyUse * $epsilonPct","","","ERROR",""
"","","","","","","","calculatedBuildingEnergyUseDelta","translate(auc:BuildingEnergyUse - $calculatedBuildingEnergyUse, '-', '')","count(auc:BuildingEnergyUse) = 1 and $calculatedBuildingEnergyUseDelta < $calculatedBuildingEnergyUseEpsilon","auc:BuildingEnergyUse (which is <value-of select=""auc:BuildingEnergyUse/text()""/>) should equal auc:ImportedEnergyConsistentUnits + auc:OnsiteEnergyProductionConsistentUnits - auc:ExportedEnergyConsistentUnits - auc:NetIncreaseInStoredEnergyConsistentUnits (which is <value-of select=""$calculatedBuildingEnergyUse""/>)","ERROR",""
"","","","","","","","calculatedBuildingEnergyUseIntensity","auc:BuildingEnergyUse div //auc:Building/auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue","","","ERROR",""
"","","","","","","","calculatedBuildingEnergyUseIntensityEpsilon","auc:SiteEnergyUseIntensity * $epsilonPct","","","ERROR",""
"","","","","","","","calculatedBuildingEnergyUseIntensityDelta","translate(auc:BuildingEnergyUseIntensity - $calculatedBuildingEnergyUseIntensity, '-', '')","count(auc:BuildingEnergyUseIntensity) = 1 and $calculatedBuildingEnergyUseIntensityDelta < $calculatedBuildingEnergyUseIntensityEpsilon","auc:BuildingEnergyUseIntensity (which is <value-of select=""auc:BuildingEnergyUseIntensity""/>) should approximately equal auc:BuildingEnergyUse divided by the auc:Building's Gross floor area (which is <value-of select=""$calculatedBuildingEnergyUseIntensity""/>); the difference, <value-of select=""$calculatedBuildingEnergyUseIntensityDelta""/> is too large (should be less than <value-of select=""$calculatedSiteEnergyUseIntensityEpsilon""/>)","ERROR",""
"","","","","","","","","","auc:EnergyCost","","ERROR",""
"","","","","","","","","","auc:EnergyCostIndex","","ERROR",""
"Benchmarking","ASHRAE 211 6.1.3","Benchmarking Tests","ASHRAE 211 6.1.3","Benchmark Scenario","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario/auc:ScenarioType/auc:Benchmark","true","","","auc:BenchmarkType/*","","ERROR",""
"","","","","","","","","","auc:BenchmarkTool","","ERROR",""
"","","","","","","","","","auc:BenchmarkYear","","ERROR",""
"","","","","","","","","","auc:BenchmarkValue","","ERROR",""
